class,precision,recall,f1-score,support
Dropout,0.7687074829931972,0.795774647887324,0.7820069204152249,284.0
Enrolled,0.45977011494252873,0.5031446540880503,0.4804804804804805,159.0
Graduate,0.8609112709832134,0.8122171945701357,0.8358556461001164,442.0
accuracy,0.751412429378531,0.751412429378531,0.751412429378531,0.751412429378531
macro avg,0.6964629563063132,0.7037121655151699,0.6994476823319405,885.0
weighted avg,0.75925328273504,0.751412429378531,0.7547283134130754,885.0
